Incident number,Incident Occurred,Incident Reported,LATITUDE,LONGITUDE,NIB_CODE_DESC
2014357565,20140501 00:00,20140507 08:50,36.09614032,-86.74945796,Burglary/Breaking & Entering
2014338695,20140501 01:00,20140501 01:50,36.23028293,-86.58866955,Burglary/Breaking & Entering
2014343671,20140501 03:00,20140502 20:38,36.16699631,-86.67344905,Burglary/Breaking & Entering
2014343098,20140501 05:00,20140502 15:50,36.05249196,-86.6592068,Burglary/Breaking & Entering
2014357951,20140501 07:00,20140507 10:30,36.10110041,-86.74299186,Burglary/Breaking & Entering
2014340913,20140501 07:00,20140501 20:05,36.04515876,-86.69257073,Burglary/Breaking & Entering
2014340553,20140501 07:00,20140501 17:47,36.15465239,-86.88284363,Burglary/Breaking & Entering
2014340666,20140501 07:00,20140501 18:15,36.08381958,-86.65965332,Burglary/Breaking & Entering
2014339539,20140501 08:00,20140501 09:30,36.25976281,-86.76660429,Burglary/Breaking & Entering
2014339526,20140501 08:30,20140501 09:30,36.11381389,-86.81082356,Burglary/Breaking & Entering
2014341041,20140501 09:00,20140501 21:00,36.27239956,-86.71821178,Burglary/Breaking & Entering
2014340527,20140501 09:00,20140501 17:50,36.0501445,-86.73887884,Burglary/Breaking & Entering
2014340098,20140501 10:45,20140501 14:35,36.08417007,-86.65885753,Burglary/Breaking & Entering
2014340145,20140501 12:30,20140501 15:00,36.13022514,-86.76929515,Burglary/Breaking & Entering
2014339924,20140501 12:50,20140501 13:00,36.24868153,-86.71552796,Burglary/Breaking & Entering
2014339998,20140501 13:25,20140501 13:47,36.2624201,-86.77464186,Burglary/Breaking & Entering
2014343143,20140501 15:00,20140502 16:08,36.12012764,-86.80659469,Burglary/Breaking & Entering
2014340811,20140501 16:30,20140501 19:45,36.13508071,-86.70522158,Burglary/Breaking & Entering
2014357872,20140501 18:00,20140507 09:41,36.23135266,-86.75886678,Burglary/Breaking & Entering
2014342575,20140501 19:30,20140502 09:40,36.04478485,-86.66232639,Burglary/Breaking & Entering
2014341386,20140501 22:30,20140501 23:30,36.21150828,-86.76537515,Burglary/Breaking & Entering
2014345446,20140501 23:08,20140503 11:32,36.18977092,-86.83738598,Burglary/Breaking & Entering
2014357895,20140502 00:00,20140507 10:30,36.2371263,-86.60412165,Burglary/Breaking & Entering
2014342031,20140502 03:33,20140502 03:50,36.06394982,-86.7108565,Burglary/Breaking & Entering
2014342834,20140502 04:30,20140502 15:30,36.09598575,-86.926649,Burglary/Breaking & Entering
2014342658,20140502 04:59,20140502 10:30,36.0475567,-86.648179,Burglary/Breaking & Entering
2014342696,20140502 06:00,20140502 11:20,36.08709177,-86.64792962,Burglary/Breaking & Entering
2014354666,20140502 12:00,20140506 11:14,36.09338655,-86.73626865,Burglary/Breaking & Entering
2014346385,20140502 12:00,20140503 20:46,36.21353326,-86.58269774,Burglary/Breaking & Entering
2014345198,20140502 17:00,20140503 08:15,36.22893595,-86.69865479,Burglary/Breaking & Entering
2014343409,20140502 18:00,20140502 19:04,36.18084103,-86.83528234,Burglary/Breaking & Entering
2014346099,20140502 18:00,20140503 18:55,36.16684953,-86.76188853,Burglary/Breaking & Entering
2014345241,20140502 18:00,20140503 08:45,36.12386467,-86.78984451,Burglary/Breaking & Entering
2014345254,20140502 18:30,20140503 09:01,36.06908814,-86.68163676,Burglary/Breaking & Entering
2014345432,20140502 21:00,20140503 11:30,36.20870622,-86.69449033,Burglary/Breaking & Entering
2014345288,20140502 22:30,20140503 09:01,36.06909835,-86.68177558,Burglary/Breaking & Entering
2014344362,20140502 22:30,20140503 01:07,36.07144068,-86.62041016,Burglary/Breaking & Entering
2014442326,20140503 00:00,20140604 17:55,36.20375704,-86.80164573,Burglary/Breaking & Entering
2014391129,20140503 00:00,20140518 12:20,36.11813221,-86.81125364,Burglary/Breaking & Entering
2014344333,20140503 00:16,20140503 00:16,36.13967371,-86.7695188,Burglary/Breaking & Entering
2014344325,20140503 00:17,20140503 01:00,36.09062128,-86.63459595,Burglary/Breaking & Entering
2014345458,20140503 02:30,20140503 11:24,36.18977092,-86.83738598,Burglary/Breaking & Entering
2014346880,20140503 08:00,20140504 00:13,36.09339874,-86.73607245,Burglary/Breaking & Entering
2014358886,20140503 14:00,20140507 16:55,36.20698537,-86.71910407,Burglary/Breaking & Entering
2014346475,20140503 15:00,20140503 20:58,36.20616583,-86.75700897,Burglary/Breaking & Entering
2014347942,20140503 17:30,20140504 08:09,36.06907048,-86.68135914,Burglary/Breaking & Entering
2014348194,20140503 18:00,20140504 10:16,36.15700428,-86.79673249,Burglary/Breaking & Entering
2014349051,20140503 18:30,20140504 17:30,36.17020788,-86.7655697,Burglary/Breaking & Entering
2014347910,20140503 19:00,20140504 07:38,36.13428754,-86.85816635,Burglary/Breaking & Entering
2014346627,20140503 21:40,20140503 21:40,36.21860207,-86.80371121,Burglary/Breaking & Entering
2014349310,20140504 00:00,20140504 20:15,36.11782269,-86.925238,Burglary/Breaking & Entering
2014347219,20140504 01:55,20140504 02:18,36.23028293,-86.58866955,Burglary/Breaking & Entering
2014347606,20140504 04:30,20140504 04:55,36.16977275,-86.67556301,Burglary/Breaking & Entering
2014348753,20140504 05:50,20140504 15:30,36.02851595,-86.649779,Burglary/Breaking & Entering
2014348851,20140504 06:30,20140504 17:35,36.1747002,-86.81209628,Burglary/Breaking & Entering
2014349003,20140504 07:00,20140504 17:20,36.25973076,-86.67920603,Burglary/Breaking & Entering
2014349114,20140504 07:50,20140504 17:35,36.14793145,-86.8296318,Burglary/Breaking & Entering
2014349131,20140504 08:00,20140504 17:55,36.20988391,-86.72500474,Burglary/Breaking & Entering
2014348323,20140504 09:30,20140504 11:02,36.14693715,-86.87169561,Burglary/Breaking & Entering
2014349026,20140504 12:00,20140504 17:01,36.11908955,-86.84231868,Burglary/Breaking & Entering
2014348556,20140504 12:50,20140504 13:40,36.07338459,-86.97712461,Burglary/Breaking & Entering
2014349196,20140504 14:00,20140504 18:40,36.21938847,-86.73140745,Burglary/Breaking & Entering
2014349038,20140504 15:10,20140504 17:00,36.19219,-86.80235237,Burglary/Breaking & Entering
2014348876,20140504 15:50,20140504 17:30,36.11534204,-86.7451159,Burglary/Breaking & Entering
2014351078,20140504 17:00,20140505 08:45,36.08882272,-86.75154827,Burglary/Breaking & Entering
2014349144,20140504 17:45,20140504 17:45,36.11111335,-86.81124965,Burglary/Breaking & Entering
2014365088,20140504 18:45,20140509 19:30,36.144344,-86.76125254,Burglary/Breaking & Entering
2014349695,20140504 20:56,20140504 20:56,36.2010758,-86.75828563,Burglary/Breaking & Entering
2014349566,20140504 21:00,20140504 21:05,36.16790967,-86.77913657,Burglary/Breaking & Entering
2014349788,20140504 22:39,20140504 22:39,36.18310097,-86.83461824,Burglary/Breaking & Entering
2014361270,20140505 00:00,20140508 10:22,36.14977025,-86.79687666,Burglary/Breaking & Entering
2014350028,20140505 00:36,20140505 13:00,36.25130042,-86.69464306,Burglary/Breaking & Entering
2014352609,20140505 08:00,20140505 18:30,36.1251293,-86.72493512,Burglary/Breaking & Entering
2014352583,20140505 09:00,20140505 21:30,35.99119633,-86.66579461,Burglary/Breaking & Entering
2014351643,20140505 09:30,20140505 13:46,36.21290154,-86.63289642,Burglary/Breaking & Entering
2014376238,20140505 10:00,20140513 14:20,36.18966361,-86.74919943,Burglary/Breaking & Entering
2014351467,20140505 11:52,20140505 11:52,36.04386143,-86.66588398,Burglary/Breaking & Entering
2014352310,20140505 12:00,20140505 16:50,36.25452504,-86.77123411,Burglary/Breaking & Entering
2014353715,20140505 15:00,20140506 14:07,36.15665,-86.84635209,Burglary/Breaking & Entering
2014354506,20140505 15:30,20140506 10:45,36.15628877,-86.82953624,Burglary/Breaking & Entering
2014352395,20140505 17:05,20140505 17:05,36.119077,-86.62432731,Burglary/Breaking & Entering
2014361115,20140505 19:30,20140508 10:00,36.18066751,-86.80584798,Burglary/Breaking & Entering
2014362418,20140506 00:01,20140508 18:52,36.23135266,-86.75886678,Burglary/Breaking & Entering
2014354827,20140506 07:00,20140506 12:10,36.073929,-86.92911585,Burglary/Breaking & Entering
2014355242,20140506 08:00,20140506 15:20,36.19269377,-86.73441815,Burglary/Breaking & Entering
2014354559,20140506 09:18,20140506 09:35,36.10388565,-86.7185666,Burglary/Breaking & Entering
2014355283,20140506 10:30,20140506 15:52,36.28430173,-86.71504551,Burglary/Breaking & Entering
2014356512,20140506 13:00,20140506 22:15,36.2653451,-86.7246912,Burglary/Breaking & Entering
2014355862,20140506 14:45,20140506 19:00,36.28926479,-86.73214413,Burglary/Breaking & Entering
2014355570,20140506 16:30,20140506 16:50,36.13674537,-86.81429201,Burglary/Breaking & Entering
2014356665,20140506 17:20,20140506 23:30,36.23530445,-86.79617995,Burglary/Breaking & Entering
2014357887,20140506 18:00,20140507 11:10,36.11594831,-86.77232588,Burglary/Breaking & Entering
2014357517,20140506 22:00,20140507 08:06,36.05202344,-86.63997113,Burglary/Breaking & Entering
2014357563,20140506 23:30,20140507 07:45,36.15207463,-86.8473432,Burglary/Breaking & Entering
2014409274,20140507 00:00,20140524 16:44,36.23404423,-86.76807474,Burglary/Breaking & Entering
2014358728,20140507 01:50,20140507 15:35,36.27255878,-86.72558831,Burglary/Breaking & Entering
2014358631,20140507 07:30,20140507 17:08,36.16797344,-86.79713738,Burglary/Breaking & Entering
2014358836,20140507 07:30,20140507 16:13,36.04069942,-86.72492274,Burglary/Breaking & Entering
2014357544,20140507 07:42,20140507 23:59,36.25322537,-86.72239961,Burglary/Breaking & Entering
2014359592,20140507 09:00,20140507 21:00,36.14334358,-86.62452156,Burglary/Breaking & Entering
2014359120,20140507 12:00,20140507 18:00,36.21796458,-86.76308136,Burglary/Breaking & Entering
2014359097,20140507 12:00,20140507 18:40,36.29505686,-86.80946494,Burglary/Breaking & Entering
2014359775,20140507 12:15,20140507 22:00,36.16722,-86.65779213,Burglary/Breaking & Entering
2014361637,20140507 12:20,20140508 12:30,36.21820493,-86.71062891,Burglary/Breaking & Entering
2014358751,20140507 13:30,20140507 15:30,36.12675228,-86.71025056,Burglary/Breaking & Entering
2014369285,20140507 16:00,20140511 08:00,36.16198029,-86.85207658,Burglary/Breaking & Entering
2014361924,20140507 18:30,20140508 16:00,36.24184158,-86.82092273,Burglary/Breaking & Entering
2014359809,20140507 21:10,20140507 21:10,36.07821357,-86.63389448,Burglary/Breaking & Entering
2014361336,20140507 21:20,20140508 11:45,36.26545836,-86.75685279,Burglary/Breaking & Entering
2014360204,20140508 01:10,20140508 01:55,36.07537269,-86.63968546,Burglary/Breaking & Entering
2014361576,20140508 01:30,20140508 12:53,36.0578991,-86.71575882,Burglary/Breaking & Entering
2014362175,20140508 06:30,20140508 17:00,36.18901831,-86.75313117,Burglary/Breaking & Entering
2014362368,20140508 07:45,20140508 18:00,36.14512693,-86.86518963,Burglary/Breaking & Entering
2014362081,20140508 08:00,20140508 16:30,36.07081961,-86.6419633,Burglary/Breaking & Entering
2014361890,20140508 08:00,20140508 15:25,36.152573,-86.83098104,Burglary/Breaking & Entering
2014362538,20140508 08:00,20140508 19:55,36.22487112,-86.7440668,Burglary/Breaking & Entering
2014361102,20140508 08:52,20140508 08:52,36.20032898,-86.82485518,Burglary/Breaking & Entering
2014375737,20140508 09:00,20140513 10:50,36.16138471,-86.83708306,Burglary/Breaking & Entering
2014361549,20140508 09:15,20140508 12:02,36.22801789,-86.71424975,Burglary/Breaking & Entering
2014362300,20140508 11:00,20140508 18:05,36.23431884,-86.78939526,Burglary/Breaking & Entering
2014369378,20140508 12:15,20140511 08:33,36.15306964,-86.84726236,Burglary/Breaking & Entering
2014361788,20140508 14:00,20140508 14:45,36.19661257,-86.70841554,Burglary/Breaking & Entering
2014362017,20140508 14:00,20140508 15:45,36.16722,-86.65779213,Burglary/Breaking & Entering
2014362501,20140508 17:00,20140508 18:55,36.14489961,-86.84178985,Burglary/Breaking & Entering
2014376334,20140508 18:00,20140513 14:34,36.21792599,-86.73925215,Burglary/Breaking & Entering
2014364239,20140508 22:30,20140509 09:50,36.08333213,-86.72584312,Burglary/Breaking & Entering
2014373190,20140509 00:00,20140512 14:53,36.20032898,-86.82485518,Burglary/Breaking & Entering
2014373432,20140509 00:00,20140512 16:10,36.20032898,-86.82485518,Burglary/Breaking & Entering
2014363493,20140509 00:50,20140509 02:00,36.20876903,-86.7536543,Burglary/Breaking & Entering
2014363757,20140509 03:22,20140509 03:45,36.12050074,-86.75005019,Burglary/Breaking & Entering
2014363932,20140509 05:15,20140509 05:55,36.22193633,-86.74644973,Burglary/Breaking & Entering
2014367902,20140509 08:00,20140511 00:46,36.16680115,-86.59617025,Burglary/Breaking & Entering
2014364404,20140509 12:00,20140509 12:43,36.01065003,-86.65457295,Burglary/Breaking & Entering
2014365868,20140509 14:20,20140510 00:50,36.2509765,-86.70173519,Burglary/Breaking & Entering
2014369310,20140509 17:07,20140511 08:30,36.20232605,-86.73873053,Burglary/Breaking & Entering
2014364918,20140509 17:35,20140509 18:09,36.18058371,-86.75507403,Burglary/Breaking & Entering
2014365014,20140509 18:10,20140509 18:40,36.08673623,-86.70305615,Burglary/Breaking & Entering
2014365337,20140509 21:05,20140509 22:10,36.16393953,-86.85704042,Burglary/Breaking & Entering
2014366738,20140510 04:30,20140510 10:05,36.12886829,-86.71384538,Burglary/Breaking & Entering
2014490014,20140510 08:00,20140620 16:50,36.21433362,-86.79409139,Burglary/Breaking & Entering
2014370124,20140510 09:00,20140511 15:30,36.26342117,-86.69732044,Burglary/Breaking & Entering
2014367156,20140510 14:00,20140510 15:00,36.16556112,-86.75446018,Burglary/Breaking & Entering
2014367432,20140510 16:25,20140510 17:00,36.12050074,-86.75005019,Burglary/Breaking & Entering
2014369560,20140510 16:30,20140511 10:18,36.07834931,-86.72393972,Burglary/Breaking & Entering
2014367468,20140510 16:30,20140510 16:45,36.14519651,-86.75892709,Burglary/Breaking & Entering
2014367649,20140510 18:20,20140510 19:10,36.08481497,-86.60554558,Burglary/Breaking & Entering
2014367804,20140510 19:45,20140510 20:45,36.05048749,-86.71434228,Burglary/Breaking & Entering
2014583476,20140511 00:00,20140724 16:30,36.15133019,-86.76250169,Burglary/Breaking & Entering
2014535474,20140511 00:00,20140707 13:30,36.21675051,-86.82891776,Burglary/Breaking & Entering
2014368309,20140511 00:10,20140511 00:42,36.11539612,-86.71716074,Burglary/Breaking & Entering
2014372599,20140511 06:00,20140512 10:15,36.14151378,-86.78113649,Burglary/Breaking & Entering
2014370610,20140511 06:00,20140511 18:20,36.26788764,-86.70208507,Burglary/Breaking & Entering
2014370127,20140511 06:30,20140511 15:16,36.02551234,-86.71540973,Burglary/Breaking & Entering
2014371208,20140511 07:00,20140511 22:52,36.07426142,-86.6633335,Burglary/Breaking & Entering
2014370689,20140511 07:30,20140511 19:05,36.2679236,-86.72438574,Burglary/Breaking & Entering
2014371317,20140511 08:00,20140511 23:59,36.18158895,-86.73507438,Burglary/Breaking & Entering
2014369385,20140511 08:14,20140511 08:55,36.25559388,-86.71490863,Burglary/Breaking & Entering
2014370801,20140511 08:45,20140511 20:00,36.19083322,-86.75062705,Burglary/Breaking & Entering
2014369996,20140511 09:00,20140511 13:55,36.05869972,-86.71970754,Burglary/Breaking & Entering
2014370161,20140511 12:00,20140511 15:15,36.04194179,-86.71792879,Burglary/Breaking & Entering
2014370384,20140511 12:30,20140511 16:30,36.08381886,-86.73347927,Burglary/Breaking & Entering
2014370024,20140511 13:30,20140511 14:45,36.1528838,-86.76269614,Burglary/Breaking & Entering
2014370051,20140511 13:30,20140511 14:25,36.05863406,-86.72744111,Burglary/Breaking & Entering
2014370794,20140511 14:45,20140511 20:00,36.20850148,-86.75382802,Burglary/Breaking & Entering
2014748950,20140511 16:00,20140917 19:30,36.07764611,-86.93051636,Burglary/Breaking & Entering
2014370916,20140511 18:00,20140511 20:15,36.14725784,-86.83131153,Burglary/Breaking & Entering
2014373045,20140511 22:30,20140512 14:00,36.23143614,-86.91239064,Burglary/Breaking & Entering
2014373807,20140512 00:00,20140512 19:30,36.04086713,-86.63168552,Burglary/Breaking & Entering
2014378808,20140512 00:00,20140514 08:32,36.22346592,-86.75931002,Burglary/Breaking & Entering
2014371553,20140512 01:45,20140512 01:55,36.11944332,-86.75354119,Burglary/Breaking & Entering
2014372261,20140512 04:30,20140512 08:20,36.22607495,-86.59475457,Burglary/Breaking & Entering
2014373814,20140512 08:15,20140512 18:30,36.13643651,-86.8165003,Burglary/Breaking & Entering
2014372558,20140512 09:36,20140512 09:36,36.18531513,-86.81897217,Burglary/Breaking & Entering
2014372870,20140512 11:48,20140512 11:48,36.04539969,-86.66391799,Burglary/Breaking & Entering
2014372935,20140512 12:03,20140512 12:03,36.26059697,-86.68050916,Burglary/Breaking & Entering
2014373517,20140512 13:30,20140512 16:52,36.07053987,-86.62249429,Burglary/Breaking & Entering
2014375613,20140512 15:30,20140513 09:47,36.21725252,-86.72710952,Burglary/Breaking & Entering
2014373991,20140512 16:30,20140512 20:15,36.03227104,-86.71482795,Burglary/Breaking & Entering
2014373983,20140512 19:10,20140512 20:05,36.20134964,-86.71752099,Burglary/Breaking & Entering
2014374222,20140512 19:15,20140512 21:37,36.11381389,-86.81082356,Burglary/Breaking & Entering
2014374886,20140512 21:30,20140513 03:22,36.22856067,-86.74401666,Burglary/Breaking & Entering
2014374358,20140512 22:15,20140512 23:17,36.23404423,-86.76807474,Burglary/Breaking & Entering
2014379616,20140513 00:00,20140514 14:18,36.16223429,-86.86310975,Burglary/Breaking & Entering
2014375875,20140513 00:00,20140513 11:35,36.07768748,-86.70536523,Burglary/Breaking & Entering
2014374945,20140513 03:50,20140513 04:16,36.15164076,-86.79816227,Burglary/Breaking & Entering
2014376614,20140513 06:30,20140513 16:16,36.17471044,-86.79945146,Burglary/Breaking & Entering
2014376960,20140513 07:30,20140513 18:30,36.11080706,-86.69773059,Burglary/Breaking & Entering
2014375315,20140513 07:43,20140513 07:43,36.21578292,-86.72206193,Burglary/Breaking & Entering
2014388955,20140513 08:30,20140517 18:45,36.14542767,-86.82860308,Burglary/Breaking & Entering
2014376374,20140513 09:00,20140513 15:10,36.11118464,-86.69894254,Burglary/Breaking & Entering
2014376699,20140513 10:00,20140513 17:06,36.2748125,-86.70401908,Burglary/Breaking & Entering
2014404482,20140513 12:00,20140522 19:40,36.23248934,-86.71436463,Burglary/Breaking & Entering
2014376738,20140513 16:30,20140513 17:00,36.24807887,-86.77459858,Burglary/Breaking & Entering
2014377045,20140513 18:20,20140513 19:56,36.15965134,-86.58987329,Burglary/Breaking & Entering
2014377470,20140513 18:20,20140513 21:50,36.23475982,-86.79545563,Burglary/Breaking & Entering
2014377980,20140513 19:00,20140514 01:00,36.26730206,-86.70499715,Burglary/Breaking & Entering
2014391612,20140513 20:00,20140518 16:40,36.14649377,-86.79508928,Burglary/Breaking & Entering
2014377363,20140513 20:00,20140513 20:30,36.24390325,-86.63828491,Burglary/Breaking & Entering
2014377807,20140513 23:29,20140513 23:29,36.14954314,-86.76965175,Burglary/Breaking & Entering
2014380084,20140513 23:30,20140514 17:00,36.05038427,-86.96357709,Burglary/Breaking & Entering
2014444761,20140514 00:00,20140605 14:00,36.06795616,-86.63174523,Burglary/Breaking & Entering
2014378170,20140514 02:25,20140514 02:50,36.20041633,-86.82493743,Burglary/Breaking & Entering
2014379863,20140514 07:30,20140514 16:40,36.26103641,-86.70354735,Burglary/Breaking & Entering
2014380088,20140514 07:50,20140514 17:40,36.21554333,-86.72399881,Burglary/Breaking & Entering
2014378872,20140514 08:30,20140514 09:00,36.21427886,-86.76425949,Burglary/Breaking & Entering
2014379838,20140514 10:30,20140514 15:55,36.06475828,-86.93594498,Burglary/Breaking & Entering
2014380073,20140514 10:40,20140514 17:12,36.05572203,-86.64237249,Burglary/Breaking & Entering
2014403702,20140514 11:00,20140522 13:30,36.25365869,-86.77697106,Burglary/Breaking & Entering
2014403704,20140514 11:00,20140522 13:30,36.25370809,-86.77697833,Burglary/Breaking & Entering
2014381758,20140514 11:30,20140515 06:50,36.17589195,-86.79525172,Burglary/Breaking & Entering
2014379470,20140514 13:04,20140514 13:40,36.09117297,-86.76312576,Burglary/Breaking & Entering
2014379555,20140514 13:30,20140514 14:04,36.05218859,-86.71469925,Burglary/Breaking & Entering
2014381753,20140514 15:15,20140515 07:30,36.16212282,-86.86063888,Burglary/Breaking & Entering
2014380751,20140514 18:15,20140514 19:32,36.04419546,-86.72647006,Burglary/Breaking & Entering
2014385546,20140514 18:30,20140516 12:35,36.11311507,-86.74273863,Burglary/Breaking & Entering
2014382452,20140514 19:30,20140515 12:00,36.1140422,-86.74341088,Burglary/Breaking & Entering
2014381057,20140514 20:30,20140515 02:30,36.13195175,-86.77122182,Burglary/Breaking & Entering
2014383261,20140515 00:00,20140515 18:12,36.1154488,-86.70918115,Burglary/Breaking & Entering
2014381374,20140515 00:20,20140515 02:30,36.1697617,-86.76531807,Burglary/Breaking & Entering
2014381266,20140515 01:20,20140515 01:36,36.05964314,-86.73903821,Burglary/Breaking & Entering
2014381422,20140515 02:50,20140515 03:26,36.2181442,-86.80357775,Burglary/Breaking & Entering
2014381505,20140515 02:50,20140515 04:50,36.08322535,-86.72395708,Burglary/Breaking & Entering
2014381446,20140515 03:10,20140515 03:30,36.04690853,-86.74287426,Burglary/Breaking & Entering
2014381635,20140515 04:15,20140515 05:43,36.08459852,-86.92058325,Burglary/Breaking & Entering
2014389572,20140515 05:00,20140518 00:10,36.13022657,-86.9143565,Burglary/Breaking & Entering
2014383286,20140515 07:30,20140515 18:30,36.07778253,-86.75848613,Burglary/Breaking & Entering
2014382812,20140515 12:00,20140515 18:35,36.077523,-86.75782038,Burglary/Breaking & Entering
2014386851,20140515 12:00,20140516 23:26,36.16166044,-86.81932091,Burglary/Breaking & Entering
2014382497,20140515 12:16,20140515 12:20,36.21661366,-86.58815451,Burglary/Breaking & Entering
2014414863,20140515 13:00,20140526 16:20,36.23356042,-86.79153066,Burglary/Breaking & Entering
2014391163,20140515 13:00,20140518 13:15,36.09044322,-86.63449976,Burglary/Breaking & Entering
2014393769,20140515 14:00,20140519 12:20,36.21192498,-86.63158356,Burglary/Breaking & Entering
2014390815,20140515 16:00,20140518 10:00,36.19073954,-86.80729909,Burglary/Breaking & Entering
2014384856,20140515 16:30,20140516 04:40,36.25145916,-86.71638395,Burglary/Breaking & Entering
2014383125,20140515 16:52,20140515 17:08,36.08992115,-86.63920355,Burglary/Breaking & Entering
2014388671,20140515 18:00,20140517 17:15,36.18874644,-86.77182138,Burglary/Breaking & Entering
2014384055,20140515 22:20,20140515 22:37,36.05907377,-86.64129326,Burglary/Breaking & Entering
2014388762,20140516 00:00,20140517 18:00,36.10070513,-86.60480016,Burglary/Breaking & Entering
2014384525,20140516 01:15,20140516 01:43,36.2591557,-86.7132211,Burglary/Breaking & Entering
2014385942,20140516 03:00,20140516 16:21,36.14780675,-86.82978969,Burglary/Breaking & Entering
2014384789,20140516 03:30,20140516 03:40,36.11070353,-86.74222518,Burglary/Breaking & Entering
2014385486,20140516 11:00,20140516 12:10,36.04171919,-86.66129961,Burglary/Breaking & Entering
2014385447,20140516 11:30,20140516 11:57,36.185388,-86.82279877,Burglary/Breaking & Entering
2014385702,20140516 12:00,20140516 14:30,36.17592582,-86.67414489,Burglary/Breaking & Entering
2014387713,20140516 12:00,20140517 06:42,36.17674304,-86.75159834,Burglary/Breaking & Entering
2014386045,20140516 15:30,20140516 17:10,36.24685529,-86.77639907,Burglary/Breaking & Entering
2014394265,20140516 16:00,20140519 14:35,36.21820493,-86.71062891,Burglary/Breaking & Entering
2014387915,20140516 20:35,20140517 09:01,36.05011678,-86.6492452,Burglary/Breaking & Entering
2014388354,20140516 22:00,20140517 14:00,36.17759737,-86.58599494,Burglary/Breaking & Entering
2014388048,20140516 22:00,20140517 10:20,36.11047517,-86.53533751,Burglary/Breaking & Entering
2014388255,20140516 22:15,20140517 12:50,36.08204609,-86.62488912,Burglary/Breaking & Entering
2014391580,20140517 00:00,20140518 16:02,36.21961376,-86.81466491,Burglary/Breaking & Entering
2014387787,20140517 06:40,20140517 07:35,36.13508597,-86.72473141,Burglary/Breaking & Entering
